['email'],['nombre'],['provincia'],['partido']
marlene.madrigal@asamblea.go.cr,MARLENE MADRIGAL FLORES,4-Heredia,Partido Acción Ciudadana (PAC)
emilia.molina@asamblea.go.cr,EMILIA MOLINA CRUZ,3-Cartago,Partido Acción Ciudadana (PAC)
ronny.monge@asamblea.go.cr,RONNY MONGE SALAS,4-Heredia,Partido Liberación Nacional (PLN)
steven.nunez@asamblea.go.cr,STEVEN NÚNEZ RÍMOLA,4-Heredia,Partido Acción Ciudadana (PAC)
patricia.mora@asamblea.go.cr,PATRICIA MORA CASTELLANOS,1-San José,Partido Frente Amplio (PFA)
victor.morales@asamblea.go.cr,VÍCTOR HUGO MORALES ZAPATA,1-San José,Partido Acción Ciudadana (PAC)
rafael.ortiz@asamblea.go.cr,RAFAEL ÁNGEL ORTIZ FÁBREGA,2-Alajuela,Partido Unidad Social Cristiana (PUSC)
sandra.piszk@asamblea.go.cr,SANDRA PISZK FEINZILBER,1-San José,Partido Liberación Nacional (PLN)
karla.prendas@asamblea.go.cr,KARLA VANESSA PRENDAS MATARRITA,6-Puntarenas,Partido Liberación Nacional (PLN)
carmen.quesada@asamblea.go.cr,CARMEN QUESADA SANTAMARÍA,7-Limón,Independiente
paulina.ramirez@asamblea.go.cr,PAULINA MARÍA RAMÍREZ PORTUGUEZ,3-Cartago,Partido Liberación Nacional (PLN)
jose.ramirez@asamblea.go.cr,JOSÉ ANTONIO RAMÍREZ AGUILAR,4-Heredia,Partido Frente Amplio (PFA)
gonzalo.ramírez@asamblea.go.cr,GONZALO ALBERTO RÁMIREZ ZAMORA,1-San José,Partido Renovación Costarricense (PRC)
rosibel.ramos@asamblea.go.cr,ROSIBEL RAMOS MADRIGAL,1-San José,Partido Unidad Social Cristiana (PUSC)
marco.redondo@asamblea.go.cr,MARCO VINICIO REDONDO QUIRÓS,3-Cartago,Partido Acción Ciudadana (PAC)
mario.redondo@asamblea.go.cr,MARIO REDONDO POVEDA,3-Cartago,Partido Alianza Demócrata Cristiana (PADC)
jorge.rodriguez@asamblea.go.cr,JORGE RODRÍGUEZ ARAYA,3-Cartago,Partido Unidad Social Cristiana (PUSC)
julio.rojas@asamblea.go.cr,JULIO ANTONIO ROJAS ASTORGA,3-Cartago,Partido Liberación Nacional (PLN)
silvia.sanchez@asamblea.go.cr,SILVIA VANESSA SÁNCHEZ VANEGAS,2-Alajuela,Partido Liberación Nacional (PLN)
aracelli.segura@asamblea.go.cr ,ARACELLI SEGURA RETANA,2-Alajuela,Partido Liberación Nacional (PLN)
otton.solis@asamblea.go.cr,OTTÓN SOLÍS FALLAS,1-San José,Partido Acción Ciudadana (PAC)
lorelly.trejos@asamblea.go.cr,LORELLY TREJOS SALAS,4-Heredia,Partido Liberación Nacional (PLN)
humberto.vargas@asamblea.go.cr,HUMBERTO VARGAS CORRALES,1-San José,Partido Unidad Social Cristiana (PUSC)
gvargas@asamblea.go.cr,GERARDO VARGAS VARELA,7-Limón,Partido Frente Amplio (PFA)
gerardo.vargas.rojas@asamblea.go.cr,GERARDO VARGAS ROJAS,6-Puntarenas,Partido Unidad Social Cristiana (PUSC)
lvasquez@asamblea.go.cr,LUIS ALBERTO VÁSQUEZ CASTRO,7-Limón,Partido Unidad Social Cristiana (PUSC)
